"","title","price","image_link"
"1","Samsung 55 Inch 4K Crystal UHD Smart LED TV With Built-In Receiver, Black  ","10,999.","https://m.media-amazon.com/images/I/41dtWpSSjOL._AC_UL320_.jpg"
"2","Samsung 43 Inch Full HD Smart LED TV with Built-in Receiver, Black - UA43T5300AUXEG  ","8,099.","https://m.media-amazon.com/images/I/61DOcUmc0EL._AC_UL320_.jpg"
"3","JAC 32 Inch HD LED TV - 32JB310  ","3,924.","https://m.media-amazon.com/images/I/61UxiHD7VXL._AC_UL320_.jpg"
"4","LG UHD 4K TV 43 Inch UQ7500 Series, Cinema Screen Design 4K Active HDR WebOS Smart AI ThinQ - 43UQ75006LD (New 2022)  ","8,749.","https://m.media-amazon.com/images/I/8156bwsDd+L._AC_UL320_.jpg"
"5","LG UHD 4K TV 50 Inch UQ7500 Series, Cinema Screen Design 4K Active HDR WebOS Smart AI ThinQ  ","9,899.","https://m.media-amazon.com/images/I/8156bwsDd+L._AC_UL320_.jpg"
"6","LG NanoCell TV 50 Inch NANO77 Series Cinema Screen Design 4K Active HDR webOS22 with ThinQ AI - 50NANO776QA.AFU  ","10,699.","https://m.media-amazon.com/images/I/51x2MZ-51nL._AC_UL320_.jpg"
"7","ROWA 32 Inch HD LED Basic TV  ","3,299.","https://m.media-amazon.com/images/I/61YAKCk8n2L._AC_UL320_.jpg"
"8","Jac 43 Inch LED Smart TV Black - NGLD-43JB621  ",NA,"https://m.media-amazon.com/images/I/61mkbdLT+6S._AC_UL320_.jpg"
"9","Samsung 65 Inch 4K UHD Smart LED TV with Built-in Receiver and Remote Control, Black - UA65AU7000UXEG  ","14,499.","https://m.media-amazon.com/images/I/51aJTqBA-FL._AC_UL320_.jpg"
"10","LG 4K UHD Smart TV 43 Inch, 4K UHD, Vibrant Viewing in Ultra High Resolution With Magic Remote 43UP751C0GG  ",NA,"https://m.media-amazon.com/images/I/71B5+FRcQZL._AC_UL320_.jpg"
"11","Samsung 50 Inch 4K UHD Smart LED TV with Built-in Receiver and Remote Control, Black  ",NA,"https://m.media-amazon.com/images/I/413Gac9rcdL._AC_UL320_.jpg"
"12","SAMSUNG 60 Inch TV Crystal Processor 4K LED UA60BU8000UXEG, New Edition - Black  ",NA,"https://m.media-amazon.com/images/I/71XbwoL3R0L._AC_UL320_.jpg"
"13","Samsung 40 inch Full HD Smart TV with Built-in Receiver UA40T5300AUXEG - Black  ","7,941.","https://m.media-amazon.com/images/I/61pWfDIRxmL._AC_UL320_.jpg"
"14","LG UHD 4K TV 43 Inch UQ8000 Series, Cinema Screen Design 4K Active HDR WebOS Smart AI ThinQ - 43UQ80006LD (New 2022)  ","9,395.","https://m.media-amazon.com/images/I/81hG9kWHmJL._AC_UL320_.jpg"
"15","LG UHD 4K TV 55 Inch UP7760PVB Series Cinema Screen Design 4K Active HDR webOS Smart with ThinQ AI  ",NA,"https://m.media-amazon.com/images/I/71iaZyoeNIL._AC_UL320_.jpg"
"16","LG LED Smart TV 43 inch LM6370 Series Full HD HDR Smart LED TV - 43LM6370PVA  ","8,455.","https://m.media-amazon.com/images/I/71Oy86VIHbL._AC_UL320_.jpg"
"17","TORNADO Smart LED TV 32 Inch HD - 32ES1500E - PROMOTIONS (WE, Shaid VIP and WATCH IT)  ","4,799.","https://m.media-amazon.com/images/I/618r+kj5LKL._AC_UL320_.jpg"
"18","LG 4K UHD Smart TV 55 Inch,UQ751C, 4K UHD, Vibrant Viewing in Ultra High Resolution 55UQ751C0LG.AFUE  ",NA,"https://m.media-amazon.com/images/I/71IS-7wDvEL._AC_UL320_.jpg"
"19","LG UHD 4K TV 65 Inch UP7760PVB Series Cinema Screen Design 4K Active HDR webOS Smart with ThinQ AI  ","14,779.","https://m.media-amazon.com/images/I/71iaZyoeNIL._AC_UL320_.jpg"
"20","LG UHD 4K TV 60 Inch UQ7900 Series, Cinema Screen Design 4K Active HDR WebOS Smart AI ThinQ - 60UQ79006LD (New)  ",NA,"https://m.media-amazon.com/images/I/719XBz+nx4L._AC_UL320_.jpg"
